gtC,ftC,gvC,fvC,minT0,minV0,minTC,minVC,sdV0,sdVC
0.015,0.0075,0.075,0.0075,0.0476969700387628,0.13295814097973674,0.026234937159738233,0.0614331897690802,0.13312465092723738,0.06151012554095448
0.015,0.0075,0.075,0.0075,0.06359596005168372,0.17727752130631566,0.04080990224848169,0.09556273964079143,0.12545873000771018,0.06966897800686707
0.015,0.0075,0.075,0.0075,0.07154545505814419,0.1994372114696051,0.05028362955616494,0.11774694705740373,0.11521716097143933,0.07153370659594234
0.015,0.0075,0.075,0.0075,0.07631515206202048,0.2127330255675788,0.05701726342716442,0.13351479909813432,0.10641973596089224,0.07133111966631728
0.015,0.0075,0.075,0.0075,0.07949495006460464,0.22159690163289458,0.06208935127804715,0.1453918824534898,0.09914246510106059,0.07032292461758571
0.015,0.0075,0.075,0.0075,0.08176623435216478,0.22792824167954873,0.06606920909207546,0.15471133913274485,0.09308456544040405,0.06899145946817435
0.015,0.0075,0.075,0.0075,0.08346969756783489,0.23267674671453928,0.0692883429629515,0.1622494422651243,0.08797103920001606,0.06754614310918677
0.015,0.0075,0.075,0.0075,0.08479461340224496,0.23637002840842086,0.07195405780795223,0.16849162858888292,0.08359264838445361,0.0660844132066043
0.015,0.0075,0.075,0.0075,0.08585454606977305,0.23932465376352616,0.07420322940466278,0.17375841404686349,0.07979483579100202,0.0646528606086124
0.015,0.0075,0.1275,0.045,0.08672176370684144,0.2417420745086123,0.07613018777605318,0.17627937341098096,0.07646293608936962,0.05575710595847379
0.015,0.0075,0.1275,0.045,0.0874444450710651,0.24375659179618406,0.07780223626019099,0.17774836818940581,0.07351069406570748,0.05360431821911736
0.015,0.0075,0.1275,0.045,0.08805594468694669,0.24546118334720632,0.07926879195418478,0.17899136377114988,0.07087217071491404,0.05168029550212219
0.015,0.0075,0.1275,0.045,0.08858008721484519,0.2469222618195111,0.08056702483657152,0.18005678855550197,0.06849614608877805,0.049947687998212524
0.015,0.0075,0.1275,0.045,0.08903434407235722,0.24818852982884193,0.08172547420722383,0.18098015670194043,0.06634223267082706,0.04837704495450695
0.015,0.0075,0.1275,0.045,0.08943181882268025,0.2492965143370064,0.08276644546608597,0.1817881038300741,0.06437814309049901,0.04694482227979447
0.015,0.0075,0.1275,0.045,0.08978253183767114,0.25027414772656326,0.0837076441003413,0.18250099835489791,0.06257774021725826,0.045631960664672934
0.015,0.0075,0.1275,0.045,0.09009427673988528,0.25114315518394714,0.08456331735051432,0.1831346823769635,0.060919623762646494,0.04442285492560977
0.015,0.0075,0.1275,0.045,0.0903732063892348,0.25192068817213276,0.08534506927805277,0.18370166281775907,0.059386090115935306,0.04330459551257045
0.015,0.0075,0.1275,0.045,0.09062424307364933,0.25262046786149983,0.08606245387450039,0.18421194521447506,0.05796235577252973,0.04226640222962878
0.015,0.0075,0.1275,0.045,0.09085137150240533,0.2532536018661652,0.08672341405911389,0.18467362928769435,0.056635969710667596,0.04129919573749707
0.015,0.0075,0.1275,0.045,0.09105785189218352,0.2538291782340429,0.08733461160481121,0.18509334208153003,0.05539636315354943,0.04039526923811085
0.015,0.0075,0.1275,0.045,0.09124637746545926,0.25435470448297465,0.08790167852947342,0.1854765581106843,0.05423450057901878,0.039548033989367945
0.015,0.0075,0.1275,0.045,0.09141919257429533,0.25483643687782875,0.08842941105375911,0.18582783947074244,0.05314260629247579,0.03875181992090642
0.015,0.0075,0.1275,0.045,0.09157818247442456,0.25527963068109455,0.08892192095934452,0.18615101832199588,0.05211394806330371,0.03800171786084472
0.015,0.0075,0.1275,0.045,0.09172494238223614,0.2556887326533399,0.08938275494015942,0.18644933726161447,0.05114266433099004,0.03729345353373258
0.015,0.0075,0.1275,0.045,0.09186083118576537,0.25606753077578925,0.08981498961948516,0.18672555850200204,0.05022362502108915,0.03662328606694509
0.015,0.0075,0.1275,0.045,0.09198701364618539,0.2564192718894923,0.09022130786426341,0.1869820496537905,0.049352318537348734,0.03598792558484906
0.015,0.0075,0.1275,0.045,0.09210449386795574,0.2567467549953537,0.09060406057987226,0.18722085176062803,0.04852475932355578,0.03538446580249864
0.015,0.0075,0.1275,0.045,0.09221414207494141,0.25705240589415773,0.09096531712779835,0.18744373372700973,0.047737411725152896,0.03481032850519438
0.015,0.0075,0.1275,0.045,0.09231671620405701,0.2573383373801356,0.09130690675132262,0.1876522362116894,0.046987126868555995,0.03426321752060681
0.015,0.0075,0.1275,0.045,0.09241287945010292,0.25760639814823993,0.09163045283703085,0.18784770729107655,0.04627109001357077,0.03374108032792929
0.015,0.0075,0.1275,0.045,0.0925032146206309,0.2578582128091864,0.09193740142548308,0.18803133163837965,0.04558677638999677,0.03324207585373742
0.015,0.0075,0.1275,0.045,0.09258823595759837,0.25809521484301834,0.09222904507307739,0.18820415455348846,0.04493191395193003,0.03276454731226426
0.015,0.0075,0.1275,0.045,0.09266839893245345,0.2583186739034885,0.09250654293117264,0.18836710187344818,0.04430445180706754,0.03230699918391176
0.0,0.0,0.1275,0.045,0.09274410840870542,0.2585297185717103,0.09274410840870542,0.18852099656452126,0.04370253332846294,0.0318680776082258
0.0,0.0,0.1275,0.045,0.09281572548083572,0.25872935542002823,0.09281572548083572,0.18866657262364445,0.0431244731508712,0.031446553609530734
0.0,0.0,0.1275,0.045,0.0928835732333802,0.2589184850658031,0.0928835732333802,0.18880448678491904,0.042568737406414925,0.03104130868469102
0.0,0.0,0.1275,0.045,0.0929479416139993,0.25909791575538443,0.0929479416139993,0.18893532842510266,0.04203392667470336,0.030651322370263884
0.0,0.0,0.1275,0.045,0.09300909157558747,0.25926837491048665,0.09300909157558747,0.18905962798327705,0.04151876121813394,0.030275661476016853
0.0,0.0,0.1275,0.045,0.09306725861222011,0.25943051898485214,0.09306725861222011,0.18917786414836976,0.0410220681494684,0.02991347072746836
0.0,0.0,0.1275,0.045,0.09312265578996548,0.25958494191281933,0.09312265578996548,0.18929047001988666,0.04054277024012113,0.02956396460484294
0.0,0.0,0.1275,0.045,0.09317547635479245,0.25973218237902057,0.09317547635479245,0.1893978384090074,0.04007987612714718,0.0292264202019642
0.0,0.0,0.1275,0.045,0.09322589598485456,0.25987273009675815,0.09322589598485456,0.18950032641680448,0.0396324717171469,0.028900170957944622
0.0,0.0,0.1275,0.045,0.09327407474246949,0.26000703124926294,0.09327407474246949,0.18959825940203281,0.03919971261812781,0.028584601138466344
0.0,0.0,0.1275,0.045,0.09332015877149244,0.26013549322122403,0.09332015877149244,0.18969193443138163,0.03878081745727183,0.028279140963067897
0.0,0.0,0.1275,0.045,0.0933642817780038,0.2602584887262932,0.0933642817780038,0.1897816232892688,0.038375061964713,0.02798326229100916
0.0,0.0,0.1275,0.045,0.09340656632591049,0.2603763594186511,0.09340656632591049,0.1898675751114107,0.03798177372175439,0.027696474791648225
0.0,0.0,0.1275,0.045,0.09344712497390263,0.26048941906234135,0.09344712497390263,0.18995001869591413,0.03760032748716934,0.02741832253635998
0.0,0.0,0.1275,0.045,0.09348606127597509,0.260597956320284,0.09348606127597509,0.19002916453703741,0.0372301410279177,0.027148380958276156
0.0,0.0,0.1275,0.045,0.0935234706642408,0.2607022372151701,0.0935234706642408,0.1901052066196853,0.03687067139122349,0.026886254133868238
0.0,0.0,0.1275,0.045,0.09355944122988089,0.26080250730640664,0.09355944122988089,0.19017832400684673,0.03652141156387716,0.026631572346895952
0.0,0.0,0.1275,0.045,0.0935940544156855,0.2608989936206155,0.0935940544156855,0.1902486822473228,0.03618188747213944,0.026383989900724283
0.0,0.0,0.1275,0.045,0.0936273856316455,0.26099190636763137,0.0936273856316455,0.19031643462704054,0.03585165528197999,0.02614318314964558
0.0,0.0,0.1275,0.045,0.09365950480338878,0.26108144046930126,0.09365950480338878,0.1903817232838594,0.035530298964774186,0.025908848723775166
0.0,0.0,0.1275,0.045,0.09369047686185551,0.26116777692448284,0.09369047686185551,0.19044468020293476,0.035217428098170404,0.025680701925434105
0.0,0.0,0.1275,0.045,0.09372036218142867,0.2612510840303599,0.09372036218142867,0.19050542810730572,0.034912675875756104,0.025458475277789112
0.0,0.0,0.1275,0.045,0.09374921697274068,0.2613315184774136,0.09374921697274068,0.19056408125635355,0.03461569730250355,0.025241917208963637
0.0,0.0,0.1275,0.045,0.09377709363553365,0.2614092263330417,0.09377709363553365,0.19062074616306074,0.03432616755585377,0.025030790856933244
0.0,0.0,0.1275,0.045,0.09380404107623352,0.2614843439268156,0.09380404107623352,0.19067552223954437,0.0340437804947744,0.024824872982324015
0.0,0.0,0.1275,0.045,0.09383010499428747,0.26155699864866244,0.09383010499428747,0.19072850237909414,0.033768247301264404,0.02462395297779191
0.0,0.0,0.1275,0.045,0.09385532814079132,0.2616273096698045,0.09385532814079132,0.1907797734818842,0.03349929524062779,0.024427831964009
0.0,0.0,0.1275,0.045,0.0938797505524855,0.26169538859503744,0.0938797505524855,0.19082941693061745,0.033236666528442385,0.024236321963452073
0.0,0.0,0.1275,0.045,0.09390340976381426,0.2617613400538567,0.09390340976381426,0.1908775090215778,0.032980117293542964,0.02404924514420551
0.0,0.0,0.1275,0.045,0.09392634099940982,0.2618252622370201,0.09392634099940982,0.1909241213558932,0.03272941662755304,0.023866433126875673
0.0,0.0,0.1275,0.045,0.09394857734907823,0.26188724738432995,0.09394857734907823,0.19096932119522936,0.03248434571255957,0.023687726348487516
0.0,0.0,0.1275,0.045,0.09397014992711476,0.2619473822287351,0.09397014992711476,0.1910131717856301,0.03224469701945258,0.02351297347791034
0.0,0.0,0.1275,0.045,0.093991088017562,0.2620057484012459,0.093991088017562,0.19105573265278375,0.03201027357026519,0.023342030877952957
0.0,0.0,0.1275,0.045,0.09401141920683682,0.26206242280064057,0.09401141920683682,0.1910970598716141,0.03178088825856413,0.02317476210978946
0.0,0.0,0.1275,0.045,0.09403116950498952,0.262117477931481,0.09403116950498952,0.1911372063127636,0.03155636322256982,0.023011037475835647
0.0,0.0,0.1275,0.045,0.09405036345671539,0.2621709822135654,0.09405036345671539,0.19117622186824693,0.03133652926623974,0.022850733597600575
0.0,0.0,0.1275,0.045,0.09406902424311551,0.2622230002655919,0.09406902424311551,0.19121415365830013,0.03112122532403921,0.022693733025394968
0.0,0.0,0.1275,0.045,0.09408717377509375,0.2622735931655081,0.09408717377509375,0.19125104622122863,0.030910297965557075,0.02253992387709489
0.0,0.0,0.1275,0.045,0.09410483277918066,0.2623228186897509,0.09410483277918066,0.19128694168786173,0.03070360093650871,0.022389199503439115
0.0,0.0,0.1275,0.045,0.09412202087649194,0.2623707315333471,0.09412202087649194,0.1913218799420513,0.030500994733010142,0.02224145817758798
0.0,0.0,0.1275,0.045,0.0941387566554529,0.2624173835126383,0.0941387566554529,0.19135589876849904,0.03030234620631103,0.02209660280689294
0.0,0.0,0.1275,0.045,0.09415505773885643,0.2624628237522076,0.09415505773885643,0.191389033989065,0.03010752819544482,0.021954540665023437
0.0,0.0,0.1275,0.045,0.09417094084576245,0.26250709885742896,0.09417094084576245,0.19142131958859082,0.029916419185495886,0.021815183142773874
0.0,0.0,0.1275,0.045,0.09418642184869616,0.2625502530739105,0.09418642184869616,0.19145278783116662,0.029728902989399692,0.021678445516030834
0.0,0.0,0.1275,0.045,0.09420151582655654,0.26259232843498004,0.09420151582655654,0.19148346936767802,0.02954486845138464,0.021544246729521634
0.0,0.0,0.1275,0.045,0.09421623711360554,0.26263336489824546,0.09421623711360554,0.19151339333538667,0.02936420917033795,0.021412509195091505
